smiles,tox
CC1CCCCN1CCCNCC2(COC2)C,0
CCCC1CCC2=C(C1)SC(=N2)NC(=O)CCNC,0
CN1C(=C(C(=N1)C2=CC(=CN=C2)F)C3=CC=CC=C3Cl)N,0
CCCCCCCCCCCC(C)COC(=O)C(=C)C,0
CCCC(CNC)N1CCN(CC1)C2=CC(=CC=C2)OC,0
CCC(C)OC1=C(C=C2CC(=O)N(C(C2=C1)C3=CC=C(C=C3)Cl)C4=CC=C(C=C4)C(C)N5CCCC(C5)N)OC,0
CCCN1C2=C(C=C(C(=C2)F)C=C3C(=O)NC(=O)N(C3=O)C4=CC=CC=C4)C(CC1(C)C)C,0
C1CNCC1CC2=NC3=C(N2CC4=CC=CC=C4)N=CC=C3,0
CC1=NN(C(=C1)C2=C3CN(C(=O)C3=CC=C2)CCC4=NC5=CC=CC=C5C=C4)C,0
CC(C)(C(C1=C(C=CC(=C1)Br)OC)O)S(=O)(=O)C,0
COC(=O)NC1=NC(=CS1)CC(=O)N2CCN(CC2)C3=C(C(=CC=C3)Cl)Cl,0
CCCC1=C(N(C(=NC(=O)C2=CC(=C(C=C2)OC)Br)S1)CC)C3=CC(=C(C=C3)Cl)Cl,0
COC1=CC=C(C=C1)CN2CCC3(C2=O)CCN(CC3)CCC(C4=CC=CC=C4OC)NC(=O)C5CCCC5,0
CC(C)(C)C1=CC=C(C=C1)C(=O)NC2=C(C=C(C=C2Cl)N)Cl,0
CC(C)CNC(=O)CCNC(=O)C(C)(C)OC,0
C1=CC=C(C=C1)C2=CC=C(C=C2)C=NN3C(=NNC3=S)C4=CC=CC=C4Br,0
CC1CC1C(=O)N2CCCCC2C3=NN4C(=CC(=NC4=C3)C(C)(C)C)C(F)(F)F,0
CC1=C(N=C(O1)C2=CC(=CC=C2)OC)COC3CCCC(C3)CCC4=C(NC(=O)S4)O,0
CC(=C)CC(C1=CC(=C(C=C1)C(CC2CCCCCC2)C3=CC=C(C=C3)F)C4=CC=C(C=C4)C(F)(F)F)C(=O)N5C(COC5=O)CC6=CC=CC=C6,0
CCCCCCC(C1CCC(O1)C(CCCCCC)O[Si](C)(C)C(C)(C)C)O,0
CC(CCC1=CC=C(C=C1)OCC(=O)O)NCC(C2=CC(=CC=C2)C(F)(F)F)O,0
CC1CCCN1C(=O)C2=CC(=C(C=C2C)O)OC,0
C1CC1COC2=C(C=CC(=C2)C(CC3=C(C=[N+](C=C3Cl)O)Cl)C4=C(SC(=C4)CN(C5=CC=CC=C5F)C(=O)OC6CN7CCC6CC7)C(=O)[O-])OC(F)F,0
CCCCNC(=O)NC(=O)CSC1=NN=C(N1CC)CC2=CC=CC=C2,0
C1=CC=C(C=C1)P2(C3=CC=CC=C3C(O2)C4=CC=C(C=C4)Br)(C5=CC=CC=C5)C6=CC=CC=C6,0
CC1=C(C=CC=C1NC(=O)CN2CCC(CC2)C(=O)NCCC(=O)NC3=CC=C(C=C3)Br)C(=O)NC4=CC(=C(C=C4)F)F,0
C1CCC(=CC1)CCNC(=O)C2=CC=C(O2)CS(=O)CC3=CC(=CC=C3)Cl,0
CNC1=CC(=CC(=C1)N2CCC(CC2)CO)[N+](=O)[O-],0
C1=CC(=C(C=C1[N+](=O)[O-])Cl)C2=C(NN=C2)C3=NC=CC(=N3)C(F)(F)F,0
[Li].CC(C1=CC=C(C=C1)C(=O)O)NCC(CP(=O)(CC2CCCCC2)O)O,0
CC1CC(CC(C1)(C)C)NC(=O)C=CC(=O)O.C1=CC=C(C=C1)COC2=CC=C(C=C2)CC(=O)O,0
CNC1=NC(=NC(=C1Br)C2CC2)CC3=C(C=CC=C3Cl)F,0
CC(C)(C)CC(CN)CN(C)CC1CCCN1C,0
CC(C(CC1=CC=C(C=C1)Cl)N2C3=CC=CC=C3C=N2)N,0
COC1=CC=CC2=C1OC3(CCN(CC3)CC4=CN=CC=C4)C5C2OCCC5,0
